benchmark_msr,reproduced_msr
273.921,318.26214129823364
224.362,414.19350666737944
206.728,352.4952156958762
260.532,366.87668194534956
246.134,328.3538256086748
190.821,536.4292245821255
229.441,392.80639785325894
264.157,522.8860453895703
207.818,262.39934493677646
190.617,313.42495986159173
208.122,223.17235829479628
223.697,312.5904696429339
191.637,304.31027133654055
272.885,332.8027775748573
260.451,260.45084198385234
190.133,299.1219035598534
171.783,249.85405443620033
265.753,338.07159169550175
198.163,454.607507266436
185.917,283.3558548541512
172.927,428.81764284547194
198.988,302.43990149793495
214.171,355.78496371420067
253.217,253.21704152249131
183.701,217.58083905586776
178.157,259.6051368561498
252.906,655.2699191922503
170.936,307.02750028266155
183.15,289.96481864095495
190.535,815.7771582815925
237.088,237.08844290657436
155.789,217.35216552025128
242.751,242.75092647570688
160.871,202.02951470807196
250.155,250.15521694214877
194.456,269.03086776605875
211.675,211.67474048442904
172.191,293.2136219585437
169.563,323.1189490977946
161.368,271.5650232623833
243.569,243.56898788927333
205.146,1047.7557098446364
171.971,378.812570861678
256.847,256.84717416378317
224.032,445.2979390274628
164.044,279.1495006930444
148.205,874.2007410106901
170.773,205.73179976851853
262.293,262.2932525951556
162.674,311.60462825820395
245.089,245.08881199538632
193.469,303.0517004124684
241.741,241.74134948096884
190.888,648.998265483114
144.774,373.7952831979021
158.311,406.41985744549845
216.128,216.12784341024965
201.389,201.3894655901576
161.779,257.12138139586546
205.207,934.4458006442895
177.77,479.113666284094
204.081,204.08131487889273
278.127,278.1267301038062
172.36,172.3601384083045
148.974,304.26815477075326
145.983,459.8227524712463
164.059,164.05920799692421
242.852,242.8519800076893
203.532,526.0998576005696
185.779,185.77854671280275
147.66,313.6772980984139
250.985,844.0999342537805
134.475,134.47518266565888
140.522,140.52210688196848
279.163,279.1627218934911
169.618,408.3801625018165
271.219,271.21882352941174
179.784,179.7841695501731
255.218,255.218017578125
158.741,1284.7544638302213
217.713,509.859404536862
266.479,266.47888888888883
149.799,447.515361252709
220.903,1298.9166666666667
249.888,870.2375206611569
226.681,226.68050749711648
115.569,115.56857142857142
157.602,157.6020761245674
174.719,332.7019609977324
121.592,151.7758085144885
186.16,742.0248334027488
177.167,533.2416110969859
283.451,283.4508641975308
293.762,293.76239669421483
190.822,190.82179930795846
239.136,239.13605442176873
259.149,259.1493055555556
168.167,377.8309989896562
161.528,682.2358276643993
272.138,272.13840830449834
